col1;col2
8.1009387e-002;3.1290014e-001
1.0316718e+000;1.4797701e-001
2.1226282e-001;-7.3926241e-001
-6.3823655e-001;-3.4132453e-001
-7.9791753e-001;-2.2520863e-002
-2.9391548e-001;-5.9340611e-001
1.2899047e+000;9.7653915e-001
-6.7952295e-001;-5.6091883e-001
2.2270278e-002;-5.1046144e-001
-1.9284353e-001;-6.3319568e-001
1.3811282e-001;-2.1730855e-001
2.8655188e-001;3.4895876e-001
-9.3342842e-002;3.2661514e-001
7.6135435e-001;5.8683155e-001
-4.3899627e-002;-5.0076663e-002
3.6445220e-001;4.1561373e-002
5.4131972e-002;-3.4361446e-001
-1.2402075e+000;-9.4979898e-001
-8.1307485e-001;-6.3577071e-001
-6.3525953e-001;-7.9879331e-001
-1.1359140e+000;-1.3977741e+000
-5.0131862e-001;-2.6692670e-001
4.0489401e-001;2.7621121e-001
3.3566145e-001;6.8741820e-002
-1.2288888e+000;-7.8185992e-001
3.9783703e-001;4.4630886e-001
4.1275647e-001;3.7276699e-001
7.2944632e-001;3.5918310e-001
1.9858955e-001;3.8807626e-001
4.8102237e-001;6.9227204e-001
3.7068276e-001;5.5934093e-001
3.9385015e-001;9.1279218e-002
-6.8778707e-002;-1.6592737e-001
1.6189824e-001;3.8021063e-001
2.2330571e+000;1.0746913e+000
6.6567510e-001;7.4791782e-001
-1.1298519e-002;1.5125582e-001
-1.4208950e-001;4.7051293e-002
3.8183699e-001;5.8233117e-001
-4.6147962e-001;5.2483684e-001
8.3066174e-001;9.6635464e-001
2.2115650e-001;1.6828089e-001
9.7293602e-002;6.0652740e-001
-6.8760398e-002;2.4061169e-001
-1.2640392e+000;-1.0392391e+000
-4.3899627e-002;-5.0076663e-002
1.6980678e+000;7.8838303e-001
2.3684259e-001;2.2494861e-001
-1.0992664e-001;-6.4913335e-003
7.9762686e-001;6.3389825e-001
1.1288027e+000;7.0230096e-001
-3.9167027e-001;-2.6507965e-001
-5.0135462e-001;2.5226975e-002
-5.3693038e-001;-2.3736481e-001
-1.2575173e+000;-7.4632580e-001
1.0052937e+000;3.6566133e-001
1.3584601e+000;7.6124753e-001
-1.6226161e-001;4.4168204e-001
-1.0296244e-001;-4.2616155e-001
2.1769180e-001;4.6216074e-002
-1.8902688e+000;-1.5064654e+000
3.5016294e-001;-1.0651742e-001
1.6215838e-002;8.5342594e-003
1.7793820e-001;5.1867883e-002
-1.5910983e+000;-4.7154155e-001
-4.6934786e-001;-8.5666486e-001
-1.3955000e-001;-1.0715554e-001
6.5064622e-001;2.8096598e-001
5.3371579e-001;7.1088071e-001
2.4857299e-002;3.6393977e-001
5.9832156e-001;-1.0416990e-001
3.8219680e-001;-1.1069585e-001
-4.3899627e-002;1.1147175e+000
-1.1636068e+000;-1.7729916e+000
8.4612004e-001;2.4131658e-001
2.7024072e-001;1.9932436e-001
-8.4529032e-001;-2.0398121e-001
1.3930567e+000;5.8352802e-001
1.2138933e+000;6.5234387e-001
3.0568056e-001;2.2140414e-001
6.1028768e-001;1.9724767e-001
-4.3899627e-002;-1.1463535e+000
-6.4843817e-001;-8.4117557e-001
3.6242676e-001;-6.2461578e-001
-1.1414831e+000;-6.8502723e-001
-1.9683211e+000;-2.4148415e+000
5.6771468e-001;-5.1896842e-001
2.4379366e-001;6.0081921e-001
-3.9046356e-001;-5.4566606e-002
-8.0962857e-001;-6.8970408e-001
6.0329840e-001;-7.7799579e-001
-4.6090037e-001;-3.0987034e-001
-2.4856990e-001;-5.8316721e-001
-1.2465804e+000;-1.6736091e+000
-1.9804241e+000;-2.7512511e+000
-3.4217090e+000;-4.3124956e+000
-2.5396129e-001;4.5857651e-001
8.4711065e-001;1.3453350e+000
8.3054304e-001;1.2293208e+000
-1.5904559e+000;-1.2559231e+000
1.0616584e+000;1.6073058e-002
-7.4999876e-003;4.4587490e-001
-2.5704775e-002;2.2250254e-001
-2.5060294e+000;-2.3064768e+000
-1.4197512e+000;-2.2568617e+000
3.9524362e-001;-1.3031618e+000
-2.0392514e+000;-2.3696777e+000
-1.7402603e+000;-1.3330291e+000
-3.0872110e+000;-4.0285079e+000
1.9297149e+000;1.9044904e+000
3.0166593e+000;3.6746392e+000
7.9318604e-002;-4.6797595e-001
6.2616177e-001;5.0149672e-001
-1.5411261e+000;-8.6537718e-001
7.6414213e-001;6.1581165e-001
-4.3899627e-002;-5.0076663e-002
-8.1391928e-002;7.0518989e-002
5.2234120e-001;1.5146507e-001
-1.2658453e+000;-1.0116983e+000
8.4800139e-001;3.7144248e-001
-1.9518443e-001;3.0420327e-001
-1.5789637e-001;-6.3860730e-001
4.5702156e-001;1.6839910e-001
-1.6974138e+000;-1.1446018e+000
-7.6512759e-001;-5.1903569e-001
8.1600734e-002;-1.3290568e-001
1.1022679e-001;-5.5924273e-001
-5.8438457e-001;-1.9257087e-001
-1.5853742e+000;-2.0199547e+000
-2.8004978e-001;-6.5006745e-001
-2.4365895e+000;-2.8749730e+000
1.2787563e+000;6.9114946e-001
-1.0946039e+000;-1.3979781e+000
-1.3608443e+000;-2.6080125e+000
9.8070790e-001;9.1828441e-001
2.5067990e+000;2.8507503e+000
-4.6771684e-001;4.3934826e-001
-6.7819186e-001;-1.4458950e+000
1.0535528e+000;-4.9494009e-001
-2.9014687e-001;-7.7578799e-001
4.7731560e-001;1.7422250e-001
-3.1922892e+000;-2.6780926e+000
-1.5941649e+000;-1.7932346e+000
-1.8381996e+000;-2.3724092e+000
1.3384096e+000;5.5008436e-001
7.1716055e-001;5.5257316e-001
-1.5088433e+000;-8.0426598e-002
2.3623844e-001;-8.6078483e-001
2.6352674e+000;2.1442881e+000
2.6939702e+000;9.4190335e-001
-2.3052241e-001;1.0582945e+000
-9.2371752e-001;-5.8871609e-002
3.6264078e-001;-8.2331418e-002
-8.4817308e-001;-4.1439720e-001
-1.9958751e+000;-1.6463129e+000
-2.8802572e-001;-1.1205060e+000
6.8669798e-001;-3.4373596e-001
-2.7619347e-001;-4.7044844e-002
4.7148754e-001;1.8007304e-001
1.4070539e+000;1.7039598e+000
4.1233350e-001;1.2228101e+000
-7.2842868e-001;-1.1759564e-001
